Date,SPY,TSLA,BABA,AMZN
2016-05-19,204.2,215.21,78.32,698.52
2016-05-20,205.49,220.28,78.79,702.8
2016-05-23,205.21,216.22,79.0,696.75
2016-05-24,207.87,217.91,81.12,704.2
2016-05-25,209.28,219.58,75.59,708.35
2016-05-26,209.34,225.12,78.35,714.91
2016-05-27,210.24,223.04,80.97,712.24
2016-05-31,209.84,223.23,82.0,722.79
2016-06-01,210.27,219.56,76.69,719.44
2016-06-02,210.91,218.96,77.3,728.24
2016-06-03,210.28,218.99,76.62,725.54
2016-06-06,211.35,220.68,78.06,726.73
2016-06-07,211.68,232.34,77.84,723.74
2016-06-08,212.37,235.52,77.64,726.64
2016-06-09,212.08,229.36,77.56,727.65
2016-06-10,210.07,218.79,75.92,717.91
2016-06-13,208.45,217.87,75.45,715.24
2016-06-14,208.04,214.96,77.77,719.3
2016-06-15,207.75,217.7,78.39,714.26
2016-06-16,208.37,217.93,78.27,717.51
2016-06-17,206.52,215.47,77.0,706.39
2016-06-20,207.85,219.7,78.15,714.01
2016-06-21,208.44,219.61,78.62,715.82
2016-06-22,208.1,196.66,78.73,710.6
2016-06-23,210.81,196.4,79.14,722.08
2016-06-24,203.13,193.15,76.29,698.96
2016-06-27,199.6,198.55,74.23,691.36
2016-06-28,203.2,201.79,76.28,707.95
2016-06-29,206.66,210.19,78.04,715.6
2016-06-30,209.48,212.28,79.53,715.62
2016-07-01,209.92,216.5,79.65,725.68
2016-07-05,208.41,213.98,78.97,728.1
2016-07-06,209.66,214.44,78.64,737.61
2016-07-07,209.53,215.94,79.35,736.57
2016-07-08,212.65,216.78,78.99,745.81
2016-07-11,213.4,224.78,81.46,753.78
2016-07-12,214.95,224.65,81.74,748.21
2016-07-13,214.92,222.53,80.57,742.63
2016-07-14,216.12,221.53,81.74,741.2
2016-07-15,215.83,220.4,81.25,735.44
2016-07-18,216.41,226.25,82.65,736.07
2016-07-19,216.19,225.26,82.77,739.95
2016-07-20,217.08,228.36,84.42,745.72
2016-07-21,216.26,220.5,84.18,744.43
2016-07-22,217.24,222.27,84.49,744.86
2016-07-25,216.65,230.01,83.19,739.61
2016-07-26,216.75,229.51,83.59,735.59
2016-07-27,216.52,228.49,83.1,736.67
2016-07-28,216.77,230.61,83.12,752.61
2016-07-29,217.12,234.79,82.48,758.81
2016-08-01,216.94,230.01,84.34,767.74
2016-08-02,215.55,227.2,83.8,760.58
2016-08-03,216.18,225.79,83.67,754.64
2016-08-04,216.41,230.61,84.75,760.77
2016-08-05,218.18,230.03,84.59,765.98
2016-08-08,218.05,226.16,85.0,766.56
2016-08-09,218.18,229.08,85.24,768.31
2016-08-10,217.64,225.65,87.33,768.56
2016-08-11,218.65,224.91,91.77,771.24
2016-08-12,218.46,225.61,98.25,772.56
2016-08-15,219.09,225.59,97.17,768.49
2016-08-16,217.96,223.61,96.66,764.04
2016-08-17,218.37,223.24,97.0,764.63
2016-08-18,218.86,223.51,97.0,764.46
2016-08-19,218.54,225.0,96.86,757.31
